farm_id,farmer_id,interviewer,sex,age,education,job,job_other,weekly_sale,live_dead,sold_to,cost_kg,local_export,where_butchered,meat_insp,parts_insp,who_insp,enclosed_pen,free_roam,age_roam,food,where_feed,clean_sched,toilet,toilet_meters,roam_defecate,waste_access,deworm,where_source,other_anim,disease_pigs,fear_disease,white_cyst_cause,disease_cyst,how_infected,test_cyst,treat_cyst,people_cyst,how_people,disease_training_all,
1,farm_1,FAK,M,22,primary,farmer_worker,,1_10,farm_slaughter,chinese,250,local,y,sometimes,unk,unk,50_75,<25,inf,assorted_leftover,enclosed,daily,outside,10_30,n,y,y,unk,chicken intestines,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
10,farm_18,FAK,M,55,primary,owner,pig farm owner,1_10,sold_live,"chinese, brokers",unk,local,n,unk,unk,unk,<25,75_100,all,"injera, grains, meat, assorted_leftover, grasses, trash_outside",both,every few weeks,outside,<5,y,y,n,unk,"dog, cat, bird, cattle, sheep/goat, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
10,farm_20,FAK,M,50,primary,owner,,,farm_slaughter,"private, chinese",160,local,n,unk,unk,unk,<25,75_100,all,"injera, meat, assorted_leftover",both,every few weeks,outside,<5,y,y,y,unk,"cat, dog, bird, rodent",unk,no,unk,unk,unk,unk,unk,unk,unk,unk,
11,farm_19,FAK,M,25,primary,farmer_worker,,,,,unk,unk,unk,unk,unk,unk,unk,unk,unk,,unk,unk,unk,unk,unk,unk,unk,unk,,unk,,unk,unk,unk,unk,unk,unk,unk,unk,only 1 page
12,farm_21,FAK,M,39,primary,other,all farm activites ,1_10,sold_live,chinese,unk,local,n,unk,unk,unk,<25,50_75,all,"injera, grains, meat, assorted_leftover, other, grasses",both,every few days,dig holes,<5,y,y,n,unk,"dog, cat, bird, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,Their farm is closed because of riverside development corridor
13,farm_22,FAK,M,37,primary,other,all farm activites ,1_10,sold_live,"brokers, middle men",150_200,local,n,never,unk,unk,<25,75_100,all,"injera, grains, meat, assorted_leftover, grasses, other",both,every few days,outside,<5,y,y,n,local(ferensay legaison),"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,
14,farm_24,FAK,F,28,primary,other,feeding and all activities,1_10,sold_live,middle men,150,local,n,unk,unk,unk,<25,75_100,all,"injera, grains, meat, assorted_leftover, other, grasses",both,every few days,pit latrine,<5,y,y,n,bishoftu,"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,
15,farm_25,FAK,M,24,primary,other,all farm activites ,1_10,sold_live,chinese,unk,local,n,never,unk,unk,25_50,25_50,all,"injera, grains, meat, assorted_leftover, other, grasses",both,daily,outside,<5,y,y,n,unk,"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,
15,farm_26,FAK,M,55,primary,other,all farm activites ,1_10,sold_live,,unk,local,n,never,unk,unk,50_75,25_50,all,"injera, grains, meat, assorted_leftover, other, grasses",both,daily,dig holes,<5,y,n,unk,unk,none,none,no,unk,unk,unk,unk,unk,unk,unk,unk,"This person is very conservative and all his answers were ""I don't know!"" They have an abottoir but he said we don't slaughter..."
15,farm_27,FAK,M,19,primary,other,"feeding, attendant, cleaning & etc",1_10,sold_live,,unk,local,n,unk,unk,unk,25_50,25_50,all,"injera, grains, meat, assorted_leftover, other, grasses",both,daily,outside,<5,y,y,n,unk,"dog, cat, bird, cattle, sheep/goat, rodent",none,y_both,unk,unk,unk,unk,unk,unk,unk,unk,Other animals can access the farm to search for food during roaming.
16,farm_28,FAK,M,49,primary,other,all farm activites ,1_10,sold_live,middle men,150,local,n,never,unk,unk,<25,75_100,all,"injera, grains, meat, assorted_leftover, other, grasses",both,every few days,outside,<5,y,y,n,goro,"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,
2,farm_3,FAK,M,23,primary,feeder,,1_10,farm_slaughter,companies,250,chinese_market_addis,unk,unk,unk,unk,25_50,50_75,both,"injera, grains, meat, assorted_leftover",both,daily,outside,<5,y_sometimes,maybe,unk,unk,"dog, cat, bird, hyena, sheep/goat, cattle, rodent, monkey",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
2,farm_4,FAK,M,35,primary,feeder,,1_10,both,chinese,250_300,unk,y,never,NA,NA,75_100,<25,inf,"injera, grains, meat, assorted_leftover, grasses",enclosed,daily,outside,<5,n,n,y,amhara,"dog, cat, bird, hyena, rodent",lice,y_both,unk,unk,unk,unk,kill_sell,unk,unk,unk,
3,farm_5,FAK,M,27,primary,owner,,1_10,farm_slaughter,,150_200,export,y,never,NA,NA,75_100,<25,inf,"injera, grains, meat, assorted_leftover",enclosed,daily,outside,<5,n,n,n,amhara,"dog, cat, bird, hyena, sheep/goat, rodent",none,unk,unk,unk,unk,unk,unk,unk,unk,unk,
4,farm_10,FAK,F,58,primary,other,ration formulator,,,hotels,unk,export,y,unk,unk,unk,<25,unk,none,"injera, grains, meat, other, hay, soy",enclosed,daily,flush toilet,<5,n,n,unk,unk,"bird, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
4,farm_7,FAK,F,29,primary,husbandry,,,farm_slaughter,,unk,unk,unk,unk,unk,unk,unk,unk,unk,"grains, meat",enclosed,daily,flush toilet,5_10,n,n,n,unk,rodent,none,unk,unk,unk,unk,unk,unk,unk,unk,unk,
4,farm_8,FAK,F,28,primary,delivery_room,,,farm_slaughter,,unk,unk,unk,unk,unk,unk,75_100,<25,none,grains,enclosed,daily,flush toilet,5_10,unk,n,n,unk,"cat, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,They don't want to disclose the price
4,farm_9,FAK,F,45,primary,,,,,,unk,unk,n,unk,unk,unk,75_100,<25,none,grains,enclosed,daily,flush toilet,>30,n,n,n,unk,,unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
5,farm_11,FAK,M,37,primary,other,owner,1_10,sold_live,"chinese, brokers",150,local,n,unk,unk,unk,<25,75_100,all,"injera, grains, meat, grasses",both,daily,pit latrine,<5,y ,y,y,unk,"dog, cat, bird, cattle, sheep/goat, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
5,farm_12,FAK,M,46,primary,other,pig farm owner,1_10,sold_live,chinese,160,local,n,unk,unk,unk,<25,75_100,all,"injera, grains, meat, assorted_leftover",both,daily,pit latrine,<5,y ,y,n,unk,"dog, cat, bird, cattle, sheep/goat, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
6,farm_13,FAK,M,29,primary,owner,,1_10,sold_live,chinese,150,local,n,unk,unk,unk,25_50,25_50,all,"injera, grains, assorted_leftover, grasses, other",both,every few days,outside,<5,y,y,y,unk,"dog, cat, bird, cattle, sheep/goat, rodent",unk,unk,unk,unk,unk,unk,unk,unk,unk,unk,
7,farm_14,FAK,M,28,degree,owner,,1_10,sold_live,"brokers, middle men",130,local,n,unk,unk,unk,50_75,50_75,all,"injera, grains, meat, assorted_leftover, grasses, other",both,daily,flush toilet,<5,y,y,y,unk,"dog, cat, bird, cattle, sheep/goat, rodent","lungworm, roundworm, ringworm, lice, ticks, rabies, ",y_both,unk,unk,unk,unk,isolate from other pigs,y,touching an infected pig,none,
8,farm_16,FAK,M,20,primary,other,"pig attendant, feeder, cleaning, etc",1_10,sold_live,"chinese, hotels, restaurants",unk,local,n,unk,unk,unk,25_50,25_50,all,"grasses, injera, grains, meat, assorted_leftover, other",both,daily,outside,<5,y,y,n,unk,"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,
9,farm_17,FAK,M,33,primary,farmer_worker,"cleaning,etc",1_10,sold_live,"chinese, hotels",100,local,n,unk,unk,unk,75_100,<25,all,"injera, grains, meat, assorted_leftover, other, grasses",both,daily,outside,<5,y,y,n,bishoftu,"dog, cat, bird, cattle, sheep/goat, rodent",none,no,unk,unk,unk,unk,unk,unk,unk,unk,other animals access farm during roaming